distance,herding_time,coefficients_of_horses,grazing_time,num_mares,stallion_speed,herding_start,herding_end,num_significant_timesteps,true_positives,false_positives,false_negatives,precision,recall,f1_score
0.5,300,0.5,2500,4,0.2,308,608,57,57,0,244,1.0,0.19,0.319327731092437
0.5,300,0.5,2500,4,0.5,2005,2305,20,20,0,281,1.0,0.06666666666666667,0.125
0.5,300,0.5,2500,4,1.0,1334,1634,22,22,0,279,1.0,0.07333333333333333,0.13664596273291926
0.5,300,0.5,2500,6,0.2,889,1189,54,54,0,247,1.0,0.18,0.3050847457627119
0.5,300,0.5,2500,6,0.5,590,890,31,31,0,270,1.0,0.10333333333333333,0.18731117824773413
0.5,300,0.5,2500,6,1.0,2334,2634,21,21,0,280,1.0,0.07,0.13084112149532712
0.5,300,0.5,2500,8,0.2,2221,2521,92,92,0,209,1.0,0.30666666666666664,0.4693877551020408
0.5,300,0.5,2500,8,0.5,2239,2539,38,38,0,263,1.0,0.12666666666666668,0.22485207100591717
0.5,300,0.5,2500,8,1.0,725,1025,31,31,0,270,1.0,0.10333333333333333,0.18731117824773413
0.5,300,1.0,500,4,0.2,328,628,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,1.0,500,4,0.5,271,571,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,1.0,500,4,1.0,371,671,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,1.0,500,6,0.2,352,652,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,1.0,500,6,0.5,269,569,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,1.0,500,6,1.0,345,645,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,1.0,500,8,0.2,257,557,0,0,0,301,0.0,0.0,0.0
0.5,300,1.0,500,8,0.5,129,429,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,1.0,500,8,1.0,43,343,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,1.0,1500,4,0.2,637,937,10,10,0,291,1.0,0.03333333333333333,0.06451612903225806
0.5,300,1.0,1500,4,0.5,233,533,15,15,0,286,1.0,0.05,0.09523809523809523
0.5,300,1.0,1500,4,1.0,109,409,17,17,0,284,1.0,0.056666666666666664,0.10725552050473186
0.5,300,1.0,1500,6,0.2,843,1143,22,22,0,279,1.0,0.07333333333333333,0.13664596273291926
0.5,300,1.0,1500,6,0.5,507,807,19,19,0,282,1.0,0.06333333333333334,0.11912225705329156
0.5,300,1.0,1500,6,1.0,1228,1528,14,14,0,287,1.0,0.04666666666666667,0.089171974522293
0.5,300,1.0,1500,8,0.2,753,1053,42,42,0,259,1.0,0.14,0.24561403508771928
0.5,300,1.0,1500,8,0.5,1265,1565,20,20,0,281,1.0,0.06666666666666667,0.125
0.5,300,1.0,1500,8,1.0,413,713,21,21,0,280,1.0,0.07,0.13084112149532712
0.5,300,1.0,2500,4,0.2,433,733,46,46,0,255,1.0,0.15333333333333332,0.2658959537572254
0.5,300,1.0,2500,4,0.5,259,559,25,25,0,276,1.0,0.08333333333333333,0.15384615384615385
0.5,300,1.0,2500,4,1.0,238,538,28,28,0,273,1.0,0.09333333333333334,0.17073170731707318
0.5,300,1.0,2500,6,0.2,2104,2404,62,62,0,239,1.0,0.20666666666666667,0.3425414364640884
0.5,300,1.0,2500,6,0.5,625,925,32,32,0,269,1.0,0.10666666666666667,0.1927710843373494
0.5,300,1.0,2500,6,1.0,1939,2239,31,31,0,270,1.0,0.10333333333333333,0.18731117824773413
0.5,300,1.0,2500,8,0.2,1208,1508,52,52,0,249,1.0,0.17333333333333334,0.29545454545454547
0.5,300,1.0,2500,8,0.5,273,573,33,33,0,268,1.0,0.11,0.19819819819819817
0.5,300,1.0,2500,8,1.0,1477,1777,25,25,0,276,1.0,0.08333333333333333,0.15384615384615385
1.0,100,0.1,500,4,0.2,402,502,15,15,0,86,1.0,0.15,0.2608695652173913
1.0,100,0.1,500,4,0.5,329,429,6,6,0,95,1.0,0.06,0.11320754716981131
1.0,100,0.1,500,4,1.0,373,473,5,5,0,96,1.0,0.05,0.09523809523809523
1.0,100,0.1,500,6,0.2,348,448,8,8,0,93,1.0,0.08,0.14814814814814814
1.0,100,0.1,500,6,0.5,17,117,11,11,0,90,1.0,0.11,0.19819819819819817
1.0,100,0.1,500,6,1.0,338,438,5,5,0,96,1.0,0.05,0.09523809523809523
1.0,100,0.1,500,8,0.2,186,286,19,19,0,82,1.0,0.19,0.319327731092437
1.0,100,0.1,500,8,0.5,476,576,12,12,0,89,1.0,0.12,0.21428571428571425
1.0,100,0.1,500,8,1.0,171,271,12,12,0,89,1.0,0.12,0.21428571428571425
1.0,100,0.1,1500,4,0.2,415,515,41,41,0,60,1.0,0.41,0.5815602836879432
1.0,100,0.1,1500,4,0.5,761,861,20,19,1,82,0.95,0.19,0.3166666666666667
1.0,100,0.1,1500,4,1.0,489,589,19,19,0,82,1.0,0.19,0.319327731092437
1.0,100,0.1,1500,6,0.2,261,361,69,69,0,32,1.0,0.69,0.8165680473372781
1.0,100,0.1,1500,6,0.5,183,283,31,31,0,70,1.0,0.31,0.47328244274809156
1.0,100,0.1,1500,6,1.0,645,745,20,20,0,81,1.0,0.2,0.33333333333333337
1.0,100,0.1,1500,8,0.2,1372,1472,69,69,0,32,1.0,0.69,0.8165680473372781
1.0,100,0.1,1500,8,0.5,1044,1144,37,37,0,64,1.0,0.37,0.5401459854014599
1.0,100,0.1,1500,8,1.0,767,867,26,26,0,75,1.0,0.26,0.41269841269841273
1.0,100,0.1,2500,4,0.2,2079,2179,59,59,0,42,1.0,0.59,0.7421383647798743
1.0,100,0.1,2500,4,0.5,2405,2505,61,61,0,40,1.0,0.61,0.7577639751552795
1.0,100,0.1,2500,4,1.0,2059,2159,25,25,0,76,1.0,0.25,0.4
1.0,100,0.1,2500,6,0.2,524,624,71,71,0,30,1.0,0.71,0.8304093567251462
1.0,100,0.1,2500,6,0.5,122,222,65,65,0,36,1.0,0.65,0.787878787878788
1.0,100,0.1,2500,6,1.0,1518,1618,24,24,0,77,1.0,0.24,0.3870967741935484
1.0,100,0.1,2500,8,0.2,1664,1764,81,80,1,21,0.9876543209876543,0.8,0.8839779005524862
1.0,100,0.1,2500,8,0.5,466,566,62,62,0,39,1.0,0.62,0.7654320987654321
1.0,100,0.1,2500,8,1.0,1970,2070,35,35,0,66,1.0,0.35,0.5185185185185185
1.0,100,0.5,500,4,0.2,85,185,4,4,0,97,1.0,0.04,0.07692307692307693
1.0,100,0.5,500,4,0.5,304,404,4,4,0,97,1.0,0.04,0.07692307692307693
1.0,100,0.5,500,4,1.0,428,528,10,10,0,91,1.0,0.1,0.18181818181818182
